date,branch_id,cash_in,cash_out,net_cash_flow,cumulative_cash
2025-01-01,B001,128000.00,31306.83,96693.17,277218.12
2025-01-01,B002,138333.25,51399.76,86933.49,309931.64
2025-01-01,B003,98000.00,47956.87,50043.13,245985.90
2025-01-01,B004,98000.00,39946.30,58053.70,246244.69
2025-01-01,B005,108332.20,43515.27,64816.94,280399.70
2025-01-02,B001,155957.38,38455.74,117501.65,394719.77
2025-01-02,B002,128000.00,51335.10,76664.90,386596.55
2025-01-02,B003,98000.00,43444.46,54555.54,300541.44
2025-01-02,B004,108930.02,43250.12,65679.90,311924.59
2025-01-02,B005,98000.00,34477.13,63522.87,343922.56
2025-01-03,B001,128000.00,34820.46,93179.54,487899.31
2025-01-03,B002,128000.00,48931.10,79068.90,465665.44
2025-01-03,B003,104586.26,50009.93,54576.33,355117.78
2025-01-03,B004,98000.00,39437.94,58562.06,370486.66
2025-01-03,B005,98000.00,34477.13,63522.87,407445.43
2025-01-04,B001,140800.00,31306.83,109493.17,597392.48
2025-01-04,B002,145838.43,50361.66,95476.77,561142.21
2025-01-04,B003,107800.00,48113.51,59686.49,414804.27
2025-01-04,B004,107800.00,36142.71,71657.29,442143.95
2025-01-04,B005,123339.58,38489.02,84850.55,492295.98
2025-01-05,B001,148436.25,33284.77,115151.48,712543.97
2025-01-05,B002,140800.00,48931.10,91868.90,653011.11
2025-01-05,B003,107800.00,43444.46,64355.54,479159.81
2025-01-05,B004,121502.90,42400.72,79102.18,521246.13
2025-01-05,B005,107800.00,34477.13,73322.87,565618.85
2025-01-06,B001,128000.00,31306.83,96693.17,809237.14
2025-01-06,B002,128000.00,51147.64,76852.36,729863.47
2025-01-06,B003,121287.05,55090.32,66196.74,545356.55
2025-01-06,B004,98000.00,39209.40,58790.60,580036.73
2025-01-06,B005,98000.00,34477.13,63522.87,629141.71
2025-01-07,B001,128000.00,35044.37,92955.63,902192.77
2025-01-07,B002,135978.11,51277.30,84700.80,814564.27
2025-01-07,B003,98000.00,48659.09,49340.91,594697.46
2025-01-07,B004,98000.00,39626.64,58373.36,638410.10
2025-01-07,B005,118044.23,43655.07,74389.16,703530.87
2025-01-08,B001,136596.70,33726.88,102869.82,1005062.60
2025-01-08,B002,128000.00,52008.09,75991.91,890556.18
2025-01-08,B003,98000.00,48843.96,49156.04,643853.49
2025-01-08,B004,103240.31,41310.99,61929.33,700339.42
2025-01-08,B005,98000.00,34477.13,63522.87,767053.73
2025-01-09,B001,128000.00,35581.85,92418.15,1097480.74
2025-01-09,B002,128000.00,51708.75,76291.25,966847.43
2025-01-09,B003,102377.66,44496.96,57880.71,701734.20
2025-01-09,B004,98000.00,39968.71,58031.29,758370.71
2025-01-09,B005,98000.00,39238.26,58761.74,825815.47
2025-01-10,B001,128000.00,31306.83,96693.17,1194173.92
2025-01-10,B002,152631.75,57828.30,94803.45,1061650.88
2025-01-10,B003,98000.00,49171.00,48829.00,750563.20
2025-01-10,B004,98000.00,36142.71,61857.29,820228.01
2025-01-10,B005,100014.13,35019.02,64995.10,890810.58
2025-01-11,B001,160080.87,38546.38,121534.49,1315708.41
2025-01-11,B002,140800.00,48931.10,91868.90,1153519.77
2025-01-11,B003,107800.00,43444.46,64355.54,814918.75
2025-01-11,B004,113777.98,37636.36,76141.62,896369.63
2025-01-11,B005,107800.00,34477.13,73322.87,964133.44
2025-01-12,B001,140800.00,31306.83,109493.17,1425201.58
2025-01-12,B002,140800.00,48931.10,91868.90,1245388.67
2025-01-12,B003,112218.14,49987.73,62230.41,877149.15
2025-01-12,B004,107800.00,36142.71,71657.29,968026.92
2025-01-12,B005,107800.00,38255.71,69544.29,1033677.73
2025-01-13,B001,128000.00,31306.83,96693.17,1521894.75
2025-01-13,B002,136460.03,51567.62,84892.41,1330281.08
2025-01-13,B003,98000.00,43444.46,54555.54,931704.70
2025-01-13,B004,98000.00,36142.71,61857.29,1029884.22
2025-01-13,B005,106135.88,36487.20,69648.68,1103326.41
2025-01-14,B001,142243.44,35240.90,107002.54,1628897.29
2025-01-14,B002,128000.00,51654.04,76345.96,1406627.04
2025-01-14,B003,98000.00,43444.46,54555.54,986260.24
2025-01-14,B004,111683.47,39533.51,72149.97,1102034.19
2025-01-14,B005,98000.00,34477.13,63522.87,1166849.28
2025-01-15,B001,128000.00,31306.83,96693.17,1725590.47
2025-01-15,B002,128000.00,48931.10,79068.90,1485695.93
2025-01-15,B003,115102.54,51558.22,63544.32,1049804.56
2025-01-15,B004,98000.00,36142.71,61857.29,1163891.48
2025-01-15,B005,98000.00,34477.13,63522.87,1230372.14
2025-01-16,B001,128000.00,34203.36,93796.64,1819387.11
2025-01-16,B002,147421.84,54048.48,93373.36,1579069.29
2025-01-16,B003,98000.00,47113.32,50886.68,1100691.24
2025-01-16,B004,98000.00,39556.61,58443.39,1222334.87
2025-01-16,B005,103041.34,35843.52,67197.81,1297569.96
2025-01-17,B001,132824.58,36624.76,96199.81,1915586.92
2025-01-17,B002,128000.00,51154.00,76846.00,1655915.30
2025-01-17,B003,98000.00,43444.46,54555.54,1155246.79
2025-01-17,B004,102264.27,37467.70,64796.57,1287131.44
2025-01-17,B005,98000.00,34477.13,63522.87,1361092.82
2025-01-18,B001,140800.00,31306.83,109493.17,2025080.09
2025-01-18,B002,140800.00,48931.10,91868.90,1747784.19
2025-01-18,B003,122608.66,51313.44,71295.22,1226542.01
2025-01-18,B004,107800.00,36142.71,71657.29,1358788.73
2025-01-18,B005,107800.00,34477.13,73322.87,1434415.69
2025-01-19,B001,140800.00,31306.83,109493.17,2134573.26
