date,branch_id,branch_name,city,total_orders,total_customers,dine_in_orders,takeaway_orders,gross_revenue,discount_amount,net_revenue,food_cost,packaging_cost,labor_cost,overhead_cost,marketing_cost,total_cost,gross_profit,gross_margin_pct,avg_order_value,avg_prep_time_min,complaints_count,refunds_amount
2025-01-01,B001,Falcon QSR Karachi,Karachi,356,393,205,151,279600.0,21037.16,258562.84,208279.74,21427.0,214.56,156.54,0.0,232153.15,26409.69,0.1021,726.3,14.39,6,2075.31
2025-01-02,B001,Falcon QSR Karachi,Karachi,354,387,192,162,276980.0,13785.77,263194.23,207784.5,21793.0,223.42,168.16,0.0,230204.47,32989.76,0.1253,743.49,13.23,4,235.39
2025-01-03,B001,Falcon QSR Karachi,Karachi,343,369,198,145,260525.0,16084.33,244440.67,195346.37,20073.0,237.83,157.85,0.0,217833.95,26606.72,0.1088,712.66,16.83,8,2018.9
2025-01-04,B001,Falcon QSR Karachi,Karachi,404,456,236,168,275425.0,11490.31,263934.69,203895.81,22879.0,234.66,166.56,0.0,230217.16,33717.53,0.1277,653.3,14.55,7,3041.13
2025-01-05,B001,Falcon QSR Karachi,Karachi,417,452,228,189,341035.0,4710.88,336324.12,254124.99,26238.0,227.26,160.91,0.0,281647.2,54676.92,0.1626,806.53,14.09,7,896.05
2025-01-06,B001,Falcon QSR Karachi,Karachi,335,354,196,139,288995.0,8580.89,280414.11,222397.36,21342.0,203.43,164.23,0.0,246849.22,33564.9,0.1197,837.06,14.14,11,2742.19
2025-01-07,B001,Falcon QSR Karachi,Karachi,315,345,179,136,254070.0,11791.51,242278.49,190876.88,19698.0,207.39,165.38,0.0,213985.48,28293.01,0.1168,769.14,15.24,9,3037.83
2025-01-08,B001,Falcon QSR Karachi,Karachi,278,308,125,153,227640.0,14135.95,213504.05,168544.17,19707.0,221.08,160.87,0.0,190449.76,23054.29,0.108,768.0,15.62,4,1816.64
2025-01-09,B001,Falcon QSR Karachi,Karachi,331,375,193,138,279140.0,15936.44,263203.56,207828.15,20328.0,211.41,158.47,0.0,229831.2,33372.35,0.1268,795.18,15.31,8,1305.18
2025-01-10,B001,Falcon QSR Karachi,Karachi,334,349,189,145,238590.0,11482.16,227107.84,179776.35,19489.0,226.06,164.41,0.0,202158.9,24948.94,0.1099,679.96,14.4,4,2503.09
2025-01-11,B001,Falcon QSR Karachi,Karachi,388,411,221,167,271335.0,11482.05,259852.95,200284.43,21663.0,225.4,162.35,0.0,224636.95,35216.0,0.1355,669.72,11.88,4,2301.77
2025-01-12,B001,Falcon QSR Karachi,Karachi,338,368,157,181,288835.0,9994.86,278840.14,217089.92,22685.0,232.63,169.15,0.0,242235.62,36604.52,0.1313,824.97,13.34,6,2058.92
2025-01-13,B001,Falcon QSR Karachi,Karachi,343,359,187,156,270865.0,10634.12,260230.88,205784.71,20910.0,221.0,168.18,0.0,229927.83,30303.05,0.1164,758.69,12.15,11,2843.95
2025-01-14,B001,Falcon QSR Karachi,Karachi,358,380,204,154,277205.0,13646.92,263558.08,207161.19,21346.0,221.57,163.01,0.0,232123.23,31434.85,0.1193,736.2,14.32,7,3231.46
2025-01-15,B001,Falcon QSR Karachi,Karachi,348,389,200,148,277230.0,8974.22,268255.78,207148.9,21182.0,206.46,162.98,0.0,230335.48,37920.3,0.1414,770.85,14.49,9,1635.13
2025-01-16,B001,Falcon QSR Karachi,Karachi,331,356,199,132,249230.0,8766.53,240463.47,190226.89,19361.0,206.58,168.41,0.0,210953.02,29510.45,0.1227,726.48,15.34,11,990.14
2025-01-17,B001,Falcon QSR Karachi,Karachi,323,356,181,142,241255.0,13937.58,227317.42,179387.12,18750.0,229.33,161.49,0.0,200705.99,26611.43,0.1171,703.77,13.91,4,2178.06
2025-01-18,B001,Falcon QSR Karachi,Karachi,377,391,208,169,299930.0,20728.3,279201.7,228156.17,23637.0,216.12,170.23,0.0,255317.14,23884.56,0.0855,740.59,17.76,7,3137.61
2025-01-19,B001,Falcon QSR Karachi,Karachi,451,506,248,203,338275.0,9608.16,328666.84,257520.12,27403.0,237.08,160.53,0.0,286940.43,41726.4,0.127,728.75,17.68,11,1619.7
2025-01-20,B001,Falcon QSR Karachi,Karachi,323,346,184,139,271865.0,12782.57,259082.43,207522.06,20772.0,201.54,169.65,0.0,230154.38,28928.05,0.1117,802.11,17.56,6,1489.12
2025-01-21,B001,Falcon QSR Karachi,Karachi,314,333,171,143,256055.0,17828.2,238226.8,195490.4,19130.0,201.32,161.74,0.0,217521.96,20704.84,0.0869,758.68,15.08,5,2538.5
2025-01-22,B001,Falcon QSR Karachi,Karachi,311,338,185,126,238775.0,8143.03,230631.97,178654.67,18104.0,221.43,157.24,0.0,200312.74,30319.23,0.1315,741.58,10.13,3,3175.41
2025-01-23,B001,Falcon QSR Karachi,Karachi,358,376,209,149,299555.0,12926.13,286628.87,223125.3,21625.0,208.39,166.06,0.0,248386.29,38242.58,0.1334,800.64,15.89,8,3261.53
2025-01-24,B001,Falcon QSR Karachi,Karachi,345,354,182,163,291715.0,13724.27,277990.73,219766.73,21904.0,223.65,160.19,0.0,243256.8,34733.93,0.1249,805.77,15.29,8,1202.23
2025-01-25,B001,Falcon QSR Karachi,Karachi,402,422,220,182,317580.0,9814.89,307765.11,240635.02,24799.0,232.41,165.98,0.0,269036.37,38728.74,0.1258,765.58,15.21,7,3203.95
2025-01-26,B001,Falcon QSR Karachi,Karachi,419,469,237,182,359455.0,10987.85,348467.15,264767.83,26837.0,220.65,158.29,0.0,293729.66,54737.48,0.1571,831.66,17.82,9,1745.9
2025-01-27,B001,Falcon QSR Karachi,Karachi,349,371,202,147,294150.0,15904.48,278245.52,218562.43,21296.0,210.51,170.49,0.0,242752.06,35493.46,0.1276,797.27,13.07,8,2512.63
