expense_id,date,branch_id,expense_type,amount
EXP0000000001,2025-01-01,B001,payroll,31306.83
EXP0000000002,2025-01-01,B002,purchase,2468.66
EXP0000000003,2025-01-01,B002,payroll,48931.10
EXP0000000004,2025-01-01,B003,payroll,43444.46
EXP0000000005,2025-01-01,B003,marketing,4512.42
EXP0000000006,2025-01-01,B004,payroll,36142.71
EXP0000000007,2025-01-01,B004,marketing,3803.59
EXP0000000008,2025-01-01,B005,purchase,3145.68
EXP0000000009,2025-01-01,B005,payroll,34477.13
EXP0000000010,2025-01-01,B005,marketing,5892.45
EXP0000000011,2025-01-02,B001,purchase,7148.91
EXP0000000012,2025-01-02,B001,payroll,31306.83
EXP0000000013,2025-01-02,B002,payroll,48931.10
EXP0000000014,2025-01-02,B002,marketing,2403.99
EXP0000000015,2025-01-02,B003,payroll,43444.46
EXP0000000016,2025-01-02,B004,purchase,2973.56
EXP0000000017,2025-01-02,B004,payroll,36142.71
EXP0000000018,2025-01-02,B004,marketing,4133.85
EXP0000000019,2025-01-02,B005,payroll,34477.13
EXP0000000020,2025-01-03,B001,payroll,31306.83
EXP0000000021,2025-01-03,B001,marketing,3513.63
EXP0000000022,2025-01-03,B002,payroll,48931.10
EXP0000000023,2025-01-03,B003,purchase,1888.02
EXP0000000024,2025-01-03,B003,payroll,43444.46
EXP0000000025,2025-01-03,B003,marketing,4677.45
EXP0000000026,2025-01-03,B004,payroll,36142.71
EXP0000000027,2025-01-03,B004,marketing,3295.23
EXP0000000028,2025-01-03,B005,payroll,34477.13
EXP0000000029,2025-01-04,B001,payroll,31306.83
EXP0000000030,2025-01-04,B002,purchase,1430.56
EXP0000000031,2025-01-04,B002,payroll,48931.10
EXP0000000032,2025-01-04,B003,payroll,43444.46
EXP0000000033,2025-01-04,B003,marketing,4669.05
EXP0000000034,2025-01-04,B004,payroll,36142.71
EXP0000000035,2025-01-04,B005,purchase,4011.89
EXP0000000036,2025-01-04,B005,payroll,34477.13
EXP0000000037,2025-01-05,B001,purchase,1977.94
EXP0000000038,2025-01-05,B001,payroll,31306.83
EXP0000000039,2025-01-05,B002,payroll,48931.10
EXP0000000040,2025-01-05,B003,payroll,43444.46
EXP0000000041,2025-01-05,B004,purchase,3330.73
EXP0000000042,2025-01-05,B004,payroll,36142.71
EXP0000000043,2025-01-05,B004,marketing,2927.28
EXP0000000044,2025-01-05,B005,payroll,34477.13
EXP0000000045,2025-01-06,B001,payroll,31306.83
EXP0000000046,2025-01-06,B002,payroll,48931.10
EXP0000000047,2025-01-06,B002,marketing,2216.54
EXP0000000048,2025-01-06,B003,purchase,5911.73
EXP0000000049,2025-01-06,B003,payroll,43444.46
EXP0000000050,2025-01-06,B003,marketing,5734.13
EXP0000000051,2025-01-06,B004,payroll,36142.71
EXP0000000052,2025-01-06,B004,marketing,3066.69
EXP0000000053,2025-01-06,B005,payroll,34477.13
EXP0000000054,2025-01-07,B001,payroll,31306.83
EXP0000000055,2025-01-07,B001,marketing,3737.54
EXP0000000056,2025-01-07,B002,purchase,2346.20
EXP0000000057,2025-01-07,B002,payroll,48931.10
EXP0000000058,2025-01-07,B003,payroll,43444.46
EXP0000000059,2025-01-07,B003,marketing,5214.63
EXP0000000060,2025-01-07,B004,payroll,36142.71
